Number,Name,Type,LastEruptionYear,Country,Region,EvidenceCategory,MajorRocks,MinorRocks,PopulationClose
283001,Abu,Shield(s),-6850,Japan,Honshu,Eruption Dated,Andesite / Basaltic Andesite	Basalt / Picro-Basalt	Dacite,,9594
355096,Acamarachi,Stratovolcano,Unknown,Chile,"Northern Chile, Bolivia and Argentina",Evidence Credible,Dacite	Andesite / Basaltic Andesite,,7
342080,Acatenango,Stratovolcano(es),1972,Guatemala,Guatemala,Eruption Observed,Andesite / Basaltic Andesite	Dacite,Basalt / Picro-Basalt,60730
213004,Acigol-Nevsehir,Caldera,-2080,Turkey,Turkey,Eruption Dated,Rhyolite	Dacite	Basalt / Picro-Basalt,,127863
321040,Adams,Stratovolcano,950,United States,USA (Washington),Eruption Dated,Andesite / Basaltic Andesite	Basalt / Picro-Basalt,Dacite,70
333050,Adams Seamount,Submarine,-50,Undersea Features,Pacific Ocean (central),Eruption Dated,Basalt / Picro-Basalt	Trachybasalt / Tephrite Basanite	Trachyte / Trachydacite,Trachyandesite / Basaltic Trachyandesite	Andesite / Basaltic Andesite,0
283170,Adatarayama,Stratovolcano(es),1996,Japan,Honshu,Eruption Observed,Andesite / Basaltic Andesite,Dacite	Basalt / Picro-Basalt,3936
221170,Adwa,Stratovolcano,Unknown,Ethiopia,Africa (northeastern) and Red Sea,Evidence Credible,Rhyolite	Basalt / Picro-Basalt	Trachyte / Trachydacite,,485
221110,Afdera,Stratovolcano,Unknown,Ethiopia,Africa (northeastern) and Red Sea,Evidence Uncertain,Rhyolite,Basalt / Picro-Basalt	Trachybasalt / Tephrite Basanite	Andesite / Basaltic Andesite,6042
284160,Agrigan,Stratovolcano,1917,United States,"Izu, Volcano, and Mariana Islands",Eruption Observed,Basalt / Picro-Basalt	Andesite / Basaltic Andesite,,0
342100,Agua,Stratovolcano,Unknown,Guatemala,Guatemala,Evidence Credible,Andesite / Basaltic Andesite,Dacite,114404
382090,Agua de Pau,Stratovolcano,1564,Portugal,Azores,Eruption Observed,Trachyte / Trachydacite	Trachybasalt / Tephrite Basanite	Basalt / Picro-Basalt,,17272
358062,Aguilera,Stratovolcano,-1250,Chile,Southern Chile and Argentina,Eruption Dated,Dacite,,0
264020,Agung,Stratovolcano,2019,Indonesia,Lesser Sunda Islands,Eruption Observed,Andesite / Basaltic Andesite,,76781
284141,Ahyi,Submarine,2014,United States,"Izu, Volcano, and Mariana Islands",Eruption Dated,Andesite / Basaltic Andesite	Basalt / Picro-Basalt,,0
282080,Aira,Caldera,2019,Japan,Ryukyu Islands and Kyushu,Eruption Observed,Andesite / Basaltic Andesite	Dacite	Rhyolite,,113874
300125,Akademia Nauk,Stratovolcano(es),1996,Russia,Kamchatka Peninsula,Eruption Observed,Andesite / Basaltic Andesite	Dacite,Basalt / Picro-Basalt	Rhyolite,3
283130,Akagisan,Stratovolcano,Unknown,Japan,Honshu,Evidence Uncertain,Andesite / Basaltic Andesite,Dacite,4538
285070,Akan,Caldera,2008,Japan,Hokkaido,Eruption Observed,Andesite / Basaltic Andesite	Dacite	Basalt / Picro-Basalt,,2062
283069,Akandanayama,Stratovolcano,Unknown,Japan,Honshu,Evidence Credible,,,0
300320,Akhtang,Shield,Unknown,Russia,Kamchatka Peninsula,Evidence Uncertain,Basalt / Picro-Basalt	Andesite / Basaltic Andesite,,0
283230,Akita-Komagatake,Stratovolcano(es),1971,Japan,Honshu,Eruption Observed,Basalt / Picro-Basalt	Andesite / Basaltic Andesite,,3864
283260,Akita-Yakeyama,Stratovolcano,1997,Japan,Honshu,Eruption Observed,Andesite / Basaltic Andesite,Dacite,721
282022,Akusekijima,Stratovolcano(es),Unknown,Japan,Ryukyu Islands and Kyushu,Evidence Uncertain,Andesite / Basaltic Andesite	Dacite,,52
311320,Akutan,Stratovolcano,1992,United States,Aleutian Islands,Eruption Observed,Basalt / Picro-Basalt	Andesite / Basaltic Andesite	Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite	Dacite,24
290390,Alaid,Stratovolcano,2018,Russia,Kuril Islands,Eruption Observed,Basalt / Picro-Basalt	Andesite / Basaltic Andesite,,64
284180,Alamagan,Stratovolcano,870,United States,"Izu, Volcano, and Mariana Islands",Eruption Dated,Andesite / Basaltic Andesite	Basalt / Picro-Basalt,,0
221112,Alayta,Shield,1915,Ethiopia,Africa (northeastern) and Red Sea,Eruption Observed,Basalt / Picro-Basalt	Trachyte / Trachydacite	Trachyandesite / Basaltic Trachyandesite,,925
353040,Alcedo,Shield,1993,Ecuador,Galapagos Islands,Eruption Observed,Basalt / Picro-Basalt,Rhyolite	Dacite	Andesite / Basaltic Andesite,290
221090,Ale Bagu,Stratovolcano,Unknown,Ethiopia,Africa (northeastern) and Red Sea,Evidence Credible,Basalt / Picro-Basalt	Trachyte / Trachydacite	Rhyolite,,919
221040,Alid,Stratovolcano,Unknown,Eritrea,Africa (northeastern) and Red Sea,Evidence Credible,Rhyolite	Basalt / Picro-Basalt	Andesite / Basaltic Andesite,,2447
352031,Aliso,Stratovolcano,-2450,Ecuador,Ecuador,Eruption Dated,Andesite / Basaltic Andesite	Rhyolite	Dacite,,0
320020,Alligator Lake,Volcanic field,Unknown,Canada,Canada,Evidence Credible,Basalt / Picro-Basalt	Trachybasalt / Tephrite Basanite,,0
342040,Almolonga,Stratovolcano,1818,Guatemala,Guatemala,Eruption Observed,Dacite	Andesite / Basaltic Andesite,Basalt / Picro-Basalt,287487
300450,Alney-Chashakondzha,Stratovolcano,1600,Russia,Kamchatka Peninsula,Eruption Dated,Basalt / Picro-Basalt	Andesite / Basaltic Andesite,Rhyolite	Dacite,0
300600,Alngey,Stratovolcano,Unknown,Russia,Kamchatka Peninsula,Evidence Uncertain,Basalt / Picro-Basalt	Andesite / Basaltic Andesite,,0
221060,Alu-Dalafilla,Fissure vent(s),2008,Ethiopia,Africa (northeastern) and Red Sea,Eruption Observed,Basalt / Picro-Basalt	Andesite / Basaltic Andesite	Trachyte / Trachydacite,,9
221270,Alutu,Stratovolcano,-50,Ethiopia,Africa (northeastern) and Red Sea,Eruption Dated,Rhyolite	Dacite	Basalt / Picro-Basalt,,25619
311390,Amak,Stratovolcano,1796,United States,Aleutian Islands,Eruption Observed,Andesite / Basaltic Andesite,,0
268072,Amasing,Stratovolcano(es),Unknown,Indonesia,Halmahera,Evidence Credible,Andesite / Basaltic Andesite,,803
257030,Ambae,Shield,2018,Vanuatu,Vanuatu,Eruption Observed,Basalt / Picro-Basalt,,1279
266020,Ambang,Complex,2005,Indonesia,Sulawesi,Eruption Observed,Andesite / Basaltic Andesite,,46469
254020,Ambitle,Stratovolcano,-350,Papua New Guinea,New Ireland,Eruption Dated,Phono-tephrite /  Tephri-phonolite	Trachybasalt / Tephrite Basanite	Trachyandesite / Basaltic Trachyandesite,,9195
233011,Ambre-Bobaomby,Volcanic field,Unknown,Madagascar,Indian Ocean (western),Evidence Credible,Basalt / Picro-Basalt	Rhyolite	Trachyte / Trachydacite,,20396
257040,Ambrym,Pyroclastic shield,2018,Vanuatu,Vanuatu,Eruption Observed,Basalt / Picro-Basalt	Andesite / Basaltic Andesite	Dacite,,186
234001,Amsterdam Island,Stratovolcano,Unknown,France,Indian Ocean (southern),Evidence Credible,Basalt / Picro-Basalt,,0
